Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register_Login_Cart,Chrome 95.0.4638.69,,,2021-11-03 21:53:14,2021-11-03 21:54:11,57.388s,FAILED
,,,,,,,
Test Cases/Web SehatQ/Register_Login_Cart,Chrome 95.0.4638.69,,,2021-11-03 21:53:14,2021-11-03 21:54:11,57.092s,FAILED
"openBrowser(""https://www.sehatq.com/"")",Chrome 95.0.4638.69,,,2021-11-03 21:53:14,2021-11-03 21:53:19,4.847s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-11-03 21:53:19,2021-11-03 21:53:20,0.178s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Profile""))",Chrome 95.0.4638.69,,,2021-11-03 21:53:20,2021-11-03 21:53:24,4.792s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Daftar""))",Chrome 95.0.4638.69,,,2021-11-03 21:53:24,2021-11-03 21:53:25,1.124s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Nama_Lengkap""), Input_Nama_Lengkap)",Chrome 95.0.4638.69,,,2021-11-03 21:53:25,2021-11-03 21:53:27,1.091s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Email""), Input_Email)",Chrome 95.0.4638.69,,,2021-11-03 21:53:27,2021-11-03 21:53:28,1.504s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Password_Email""), Input_Password_Email)",Chrome 95.0.4638.69,,,2021-11-03 21:53:28,2021-11-03 21:53:29,0.990s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/View_Password""))",Chrome 95.0.4638.69,,,2021-11-03 21:53:29,2021-11-03 21:53:30,0.555s,PASSED
"check(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Click_Saya menyetujui Ketentuan dan Kebijakan Privasi di SehatQ""))",Chrome 95.0.4638.69,,,2021-11-03 21:53:30,2021-11-03 21:53:30,0.462s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Button_Daftar""))",Chrome 95.0.4638.69,,,2021-11-03 21:53:30,2021-11-03 21:53:31,0.551s,PASSED
delay(3),Chrome 95.0.4638.69,,,2021-11-03 21:53:31,2021-11-03 21:53:34,3.028s,PASSED
"if (waitForElementVisible(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/notif_Email sudah ada, mohon gunakan email lain""), 5))",Chrome 95.0.4638.69,,,2021-11-03 21:53:34,2021-11-03 21:53:40,6.115s,PASSED
else,Chrome 95.0.4638.69,,,2021-11-03 21:53:40,2021-11-03 21:54:11,31.512s,FAILED
