Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,Chrome 95.0.4638.69,,,2021-11-05 21:29:32,2021-11-05 21:30:25,53.046s,FAILED
,,,,,,,
Test Cases/Web SehatQ/Register,Chrome 95.0.4638.69,,,2021-11-05 21:29:32,2021-11-05 21:29:52,19.827s,PASSED
"callTestCase(findTestCase(""Web SehatQ/Setup""), [:], STOP_ON_FAILURE)",Chrome 95.0.4638.69,,,2021-11-05 21:29:33,2021-11-05 21:29:40,7.235s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Profile""))",Chrome 95.0.4638.69,,,2021-11-05 21:29:40,2021-11-05 21:29:45,5.221s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Daftar""))",Chrome 95.0.4638.69,,,2021-11-05 21:29:45,2021-11-05 21:29:46,1.336s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Nama_Lengkap""), Input_Nama_Lengkap)",Chrome 95.0.4638.69,,,2021-11-05 21:29:46,2021-11-05 21:29:48,1.241s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Email""), Input_Email)",Chrome 95.0.4638.69,,,2021-11-05 21:29:48,2021-11-05 21:29:49,1.729s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Password_Email""), Input_Password)",Chrome 95.0.4638.69,,,2021-11-05 21:29:49,2021-11-05 21:29:50,0.927s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/View_Password""))",Chrome 95.0.4638.69,,,2021-11-05 21:29:50,2021-11-05 21:29:51,0.567s,PASSED
"check(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Click_Saya menyetujui Ketentuan dan Kebijakan Privasi di SehatQ""))",Chrome 95.0.4638.69,,,2021-11-05 21:29:51,2021-11-05 21:29:51,0.457s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Button_Daftar""))",Chrome 95.0.4638.69,,,2021-11-05 21:29:51,2021-11-05 21:29:52,0.632s,PASSED
"if (Action == ""sudah terdaftar"")",Chrome 95.0.4638.69,,,2021-11-05 21:29:52,2021-11-05 21:29:52,0.015s,PASSED
,,,,,,,
Test Cases/Web SehatQ/Register,Chrome 95.0.4638.69,,,2021-11-05 21:29:52,2021-11-05 21:30:25,32.641s,FAILED
"callTestCase(findTestCase(""Web SehatQ/Setup""), [:], STOP_ON_FAILURE)",Chrome 95.0.4638.69,,,2021-11-05 21:29:52,2021-11-05 21:30:01,9.259s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Profile""))",Chrome 95.0.4638.69,,,2021-11-05 21:30:01,2021-11-05 21:30:04,3.038s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Daftar""))",Chrome 95.0.4638.69,,,2021-11-05 21:30:04,2021-11-05 21:30:06,1.234s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Nama_Lengkap""), Input_Nama_Lengkap)",Chrome 95.0.4638.69,,,2021-11-05 21:30:06,2021-11-05 21:30:07,1.181s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Email""), Input_Email)",Chrome 95.0.4638.69,,,2021-11-05 21:30:07,2021-11-05 21:30:09,1.724s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Password_Email""), Input_Password)",Chrome 95.0.4638.69,,,2021-11-05 21:30:09,2021-11-05 21:30:10,0.959s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/View_Password""))",Chrome 95.0.4638.69,,,2021-11-05 21:30:10,2021-11-05 21:30:10,0.538s,PASSED
"check(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Click_Saya menyetujui Ketentuan dan Kebijakan Privasi di SehatQ""))",Chrome 95.0.4638.69,,,2021-11-05 21:30:10,2021-11-05 21:30:11,0.545s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Button_Daftar""))",Chrome 95.0.4638.69,,,2021-11-05 21:30:11,2021-11-05 21:30:11,0.461s,PASSED
"if (Action == ""sudah terdaftar"")",Chrome 95.0.4638.69,,,2021-11-05 21:30:11,2021-11-05 21:30:11,0.000s,PASSED
else,Chrome 95.0.4638.69,,,2021-11-05 21:30:11,2021-11-05 21:30:25,13.660s,FAILED
