Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cart,,,,2021-11-06 09:50:54,2021-11-06 09:51:25,30.970s,FAILED
,,,,,,,
Test Cases/APK SehatQ/Cart,,,,2021-11-06 09:50:55,2021-11-06 09:51:25,30.653s,FAILED
"startExistingApplication(""com.she.sehatq"")",,,,2021-11-06 09:50:55,2021-11-06 09:51:09,14.086s,PASSED
"tap(findTestObject(""OR APK/Aktifkan_Lokasi_Tidak""), 0)",,,,2021-11-06 09:51:09,2021-11-06 09:51:13,4.401s,PASSED
"tap(findTestObject(""OR APK/Klik_Profile""), 0)",,,,2021-11-06 09:51:13,2021-11-06 09:51:14,1.002s,PASSED
"setText(findTestObject(""OR APK/Email_Login""), email, 0)",,,,2021-11-06 09:51:14,2021-11-06 09:51:17,2.653s,PASSED
"setText(findTestObject(""OR APK/Password_Login""), password, 0)",,,,2021-11-06 09:51:17,2021-11-06 09:51:18,1.246s,PASSED
"tap(findTestObject(""OR APK/Button_Login""), 0)",,,,2021-11-06 09:51:18,2021-11-06 09:51:20,1.338s,PASSED
"tap(findTestObject(""OR APK/Klik_Lewati_after_Login""), 0)",,,,2021-11-06 09:51:20,2021-11-06 09:51:23,3.169s,PASSED
"tap(findTestObject(""OR APK/Yakin_Lewati_Pendaftaran_Ya""), 0)",,,,2021-11-06 09:51:23,2021-11-06 09:51:24,0.886s,PASSED
"tap(findTestObject(""OR APK/Klik_Back_from_Profile""), 0)",,,,2021-11-06 09:51:24,2021-11-06 09:51:25,1.520s,FAILED
