Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,,,,2021-11-06 10:38:52,2021-11-06 10:39:33,41.001s,PASSED
,,,,,,,
Test Cases/APK SehatQ/Register,,,,2021-11-06 10:38:52,2021-11-06 10:39:33,40.701s,PASSED
"startExistingApplication(""com.she.sehatq"", STOP_ON_FAILURE)",,,,2021-11-06 10:38:52,2021-11-06 10:39:07,14.518s,PASSED
"tap(findTestObject(""OR APK/Aktifkan_Lokasi_Tidak""), 10)",,,,2021-11-06 10:39:07,2021-11-06 10:39:12,4.745s,PASSED
"tap(findTestObject(""OR APK/Klik_Profile""), 10)",,,,2021-11-06 10:39:12,2021-11-06 10:39:13,1.031s,PASSED
"tap(findTestObject(""OR APK/Klik_Daftar""), 10)",,,,2021-11-06 10:39:13,2021-11-06 10:39:15,2.296s,PASSED
"setText(findTestObject(""OR APK/Isi_Nama_Lengkap""), Nama_Lengkap, 10)",,,,2021-11-06 10:39:15,2021-11-06 10:39:18,2.900s,PASSED
"setText(findTestObject(""OR APK/Isi_Email_Registrasi""), Input_Email, 10)",,,,2021-11-06 10:39:18,2021-11-06 10:39:19,1.253s,PASSED
"setText(findTestObject(""OR APK/Isi_Password_Register""), Input_Password, 10)",,,,2021-11-06 10:39:19,2021-11-06 10:39:21,1.789s,PASSED
"tap(findTestObject(""OR APK/Check_Saya_Setuju_Daftar""), 10)",,,,2021-11-06 10:39:21,2021-11-06 10:39:22,0.923s,PASSED
"tap(findTestObject(""OR APK/Klik_Button_daftar""), 10)",,,,2021-11-06 10:39:22,2021-11-06 10:39:23,0.955s,PASSED
"tap(findTestObject(""OR APK/Klik_Lewati_after_Daftar""), 10)",,,,2021-11-06 10:39:23,2021-11-06 10:39:27,4.568s,PASSED
"tap(findTestObject(""OR APK/Klik_Ya_Untuk_Yakin""), 10)",,,,2021-11-06 10:39:27,2021-11-06 10:39:28,0.864s,PASSED
"tap(findTestObject(""OR APK/Klik_hamburger_Profile""), 10)",,,,2021-11-06 10:39:28,2021-11-06 10:39:30,1.900s,PASSED
"tap(findTestObject(""OR APK/Klik_Pengaturan_Aplikasi""), 10)",,,,2021-11-06 10:39:30,2021-11-06 10:39:31,1.301s,PASSED
"tap(findTestObject(""OR APK/Button_Logout""), 10)",,,,2021-11-06 10:39:31,2021-11-06 10:39:33,1.319s,PASSED
