Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,Chrome 95.0.4638.69,,,2021-11-05 21:24:24,2021-11-05 21:25:16,51.838s,FAILED
,,,,,,,
Test Cases/Web SehatQ/Register,Chrome 95.0.4638.69,,,2021-11-05 21:24:24,2021-11-05 21:24:29,4.656s,FAILED
"callTestCase(findTestCase(""Web SehatQ/Setup""), [:], STOP_ON_FAILURE)",Chrome 95.0.4638.69,,,2021-11-05 21:24:25,2021-11-05 21:24:29,4.201s,FAILED
,,,,,,,
Test Cases/Web SehatQ/Register,Chrome 95.0.4638.69,,,2021-11-05 21:24:29,2021-11-05 21:25:16,46.625s,FAILED
"callTestCase(findTestCase(""Web SehatQ/Setup""), [:], STOP_ON_FAILURE)",Chrome 95.0.4638.69,,,2021-11-05 21:24:29,2021-11-05 21:24:35,5.977s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Profile""))",Chrome 95.0.4638.69,,,2021-11-05 21:24:35,2021-11-05 21:24:37,2.272s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Daftar""))",Chrome 95.0.4638.69,,,2021-11-05 21:24:37,2021-11-05 21:24:38,1.073s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Nama_Lengkap""), Input_Nama_Lengkap)",Chrome 95.0.4638.69,,,2021-11-05 21:24:38,2021-11-05 21:24:39,0.992s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Email""), Input_Email)",Chrome 95.0.4638.69,,,2021-11-05 21:24:39,2021-11-05 21:24:41,1.946s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Password_Email""), Input_Password)",Chrome 95.0.4638.69,,,2021-11-05 21:24:41,2021-11-05 21:24:42,0.878s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/View_Password""))",Chrome 95.0.4638.69,,,2021-11-05 21:24:42,2021-11-05 21:24:43,0.509s,PASSED
"check(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Click_Saya menyetujui Ketentuan dan Kebijakan Privasi di SehatQ""))",Chrome 95.0.4638.69,,,2021-11-05 21:24:43,2021-11-05 21:24:43,0.573s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Button_Daftar""))",Chrome 95.0.4638.69,,,2021-11-05 21:24:43,2021-11-05 21:24:44,0.464s,PASSED
"if (Action == ""sudah terdaftar"")",Chrome 95.0.4638.69,,,2021-11-05 21:24:44,2021-11-05 21:24:44,0.001s,PASSED
else,Chrome 95.0.4638.69,,,2021-11-05 21:24:44,2021-11-05 21:25:16,31.915s,FAILED
