Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cart,,,,2021-11-06 09:52:58,2021-11-06 09:53:54,55.991s,PASSED
,,,,,,,
Test Cases/APK SehatQ/Cart,,,,2021-11-06 09:52:59,2021-11-06 09:53:54,55.680s,PASSED
"startExistingApplication(""com.she.sehatq"")",,,,2021-11-06 09:52:59,2021-11-06 09:53:13,13.801s,PASSED
"tap(findTestObject(""OR APK/Aktifkan_Lokasi_Tidak""), 20)",,,,2021-11-06 09:53:13,2021-11-06 09:53:17,4.448s,PASSED
"tap(findTestObject(""OR APK/Klik_Profile""), 20)",,,,2021-11-06 09:53:17,2021-11-06 09:53:18,1.157s,PASSED
"setText(findTestObject(""OR APK/Email_Login""), email, 20)",,,,2021-11-06 09:53:18,2021-11-06 09:53:22,3.170s,PASSED
"setText(findTestObject(""OR APK/Password_Login""), password, 20)",,,,2021-11-06 09:53:22,2021-11-06 09:53:23,1.277s,PASSED
"tap(findTestObject(""OR APK/Button_Login""), 20)",,,,2021-11-06 09:53:23,2021-11-06 09:53:24,0.917s,PASSED
"tap(findTestObject(""OR APK/Klik_Lewati_after_Login""), 20)",,,,2021-11-06 09:53:24,2021-11-06 09:53:27,3.538s,PASSED
"tap(findTestObject(""OR APK/Yakin_Lewati_Pendaftaran_Ya""), 20)",,,,2021-11-06 09:53:27,2021-11-06 09:53:28,0.883s,PASSED
"tap(findTestObject(""OR APK/Klik_Back_from_Profile""), 20)",,,,2021-11-06 09:53:28,2021-11-06 09:53:30,1.979s,PASSED
"tap(findTestObject(""OR APK/Cart""), 20)",,,,2021-11-06 09:53:30,2021-11-06 09:53:32,1.387s,PASSED
"tap(findTestObject(""OR APK/Klik_Belanja_Sekarang""), 20)",,,,2021-11-06 09:53:32,2021-11-06 09:53:34,2.244s,PASSED
"tap(findTestObject(""OR APK/Image_Toko""), 20)",,,,2021-11-06 09:53:34,2021-11-06 09:53:37,3.200s,PASSED
"tap(findTestObject(""OR APK/Semua_Kategori""), 20)",,,,2021-11-06 09:53:37,2021-11-06 09:53:38,1.040s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2021-11-06 09:53:38,2021-11-06 09:53:40,2.035s,PASSED
"tap(findTestObject(""OR APK/Klik_Product_Obat""), 20)",,,,2021-11-06 09:53:40,2021-11-06 09:53:41,0.545s,PASSED
"tap(findTestObject(""OR APK/Promag_Double""), 20)",,,,2021-11-06 09:53:41,2021-11-06 09:53:43,2.096s,PASSED
"tap(findTestObject(""OR APK/Plus_Keranjang""), 20)",,,,2021-11-06 09:53:43,2021-11-06 09:53:46,2.984s,PASSED
"tap(findTestObject(""OR APK/android.widget.ImageView_Apotek Fakhira""), 20)",,,,2021-11-06 09:53:46,2021-11-06 09:53:47,0.957s,PASSED
"tap(findTestObject(""OR APK/android.widget.Button - Tambah ke Keranjang""), 20)",,,,2021-11-06 09:53:47,2021-11-06 09:53:48,1.328s,PASSED
"tap(findTestObject(""OR APK/Klik_Lihat_Keranjang""), 20)",,,,2021-11-06 09:53:48,2021-11-06 09:53:51,3.491s,PASSED
"waitForElementPresent(findTestObject(""OR APK/Has_been_cart""), 20)",,,,2021-11-06 09:53:51,2021-11-06 09:53:54,2.899s,PASSED
